Student_ID,Age,Gender,Class,Study_Hours_Per_Day,Attendance_Percentage,Parental_Education,Internet_Access,Extracurricular_Activities,Math_Score,Science_Score,English_Score,Previous_Year_Score,Final_Percentage,Performance_Level,Pass_Fail,Final_Score,Study_Hours_Group,Attendance_Group
S0470,18,Female,10,3.8,84,Postgraduate,No,No,85,63,95,45,81.0,Excellent,Pass,81.0,2-4 Hours,75-90%
S0471,16,Male,11,5.3,74,Postgraduate,No,No,94,66,94,80,84.67,Excellent,Pass,84.67,4-6 Hours,60-75%
S0472,18,Male,10,0.8,74,Graduate,No,Yes,64,57,91,93,70.67,Good,Pass,70.67,0-2 Hours,60-75%
S0473,17,Female,12,4.8,74,Graduate,Yes,Yes,54,56,65,44,58.33,Average,Pass,58.33,4-6 Hours,60-75%
S0474,19,Male,12,5.8,89,Graduate,No,Yes,75,94,63,63,77.33,Good,Pass,77.33,4-6 Hours,75-90%
S0475,14,Male,11,2.8,85,Postgraduate,Yes,Yes,91,50,86,49,75.67,Good,Pass,75.67,2-4 Hours,75-90%
S0476,15,Female,10,6.0,86,Graduate,No,Yes,46,51,70,76,55.67,Average,Pass,55.67,4-6 Hours,75-90%
S0477,15,Female,12,2.3,56,Graduate,Yes,Yes,46,86,83,93,71.67,Good,Pass,71.67,2-4 Hours,Below 60%
S0478,19,Male,10,3.9,52,Postgraduate,Yes,Yes,70,73,97,65,80.0,Good,Pass,80.0,2-4 Hours,Below 60%
S0479,14,Male,11,5.8,54,High School,Yes,No,96,94,44,85,78.0,Good,Pass,78.0,4-6 Hours,Below 60%
S0480,19,Female,11,4.6,63,High School,No,Yes,80,100,37,93,72.33,Good,Pass,72.33,4-6 Hours,60-75%
S0481,16,Male,9,5.2,68,Graduate,Yes,No,36,75,93,93,68.0,Good,Pass,68.0,4-6 Hours,60-75%
S0482,18,Male,10,0.8,97,Graduate,Yes,Yes,59,80,82,60,73.67,Good,Pass,73.67,0-2 Hours,90-100%
S0483,16,Female,10,5.6,78,Postgraduate,No,No,91,62,100,76,84.33,Excellent,Pass,84.33,4-6 Hours,75-90%
S0484,18,Female,9,2.6,60,Postgraduate,No,No,49,66,72,89,62.33,Average,Pass,62.33,2-4 Hours,Below 60%
S0485,15,Male,12,4.9,94,Graduate,Yes,No,49,43,37,50,43.0,Poor,Fail,43.0,4-6 Hours,90-100%
S0486,18,Female,9,5.6,60,Graduate,No,Yes,67,54,70,40,63.67,Average,Pass,63.67,4-6 Hours,Below 60%
S0487,18,Male,12,4.2,76,Graduate,No,Yes,41,43,59,83,47.67,Poor,Fail,47.67,4-6 Hours,75-90%
S0488,18,Female,9,0.6,72,Postgraduate,No,No,65,90,48,73,67.67,Good,Pass,67.67,0-2 Hours,60-75%
S0489,15,Male,11,3.1,94,Graduate,No,No,40,39,45,51,41.33,Poor,Fail,41.33,2-4 Hours,90-100%
S0490,19,Female,12,4.1,85,Postgraduate,No,Yes,79,74,65,58,72.67,Good,Pass,72.67,4-6 Hours,75-90%
S0491,14,Male,9,4.8,70,Postgraduate,Yes,No,83,69,48,43,66.67,Good,Pass,66.67,4-6 Hours,60-75%
S0492,17,Female,11,0.7,50,Postgraduate,No,No,50,87,88,51,75.0,Good,Pass,75.0,0-2 Hours,Below 60%
S0493,16,Male,9,5.9,90,Postgraduate,Yes,Yes,60,95,71,71,75.33,Good,Pass,75.33,4-6 Hours,75-90%
S0494,17,Female,11,3.8,57,Graduate,Yes,Yes,75,37,75,57,62.33,Average,Pass,62.33,2-4 Hours,Below 60%
S0495,18,Female,11,2.6,83,High School,Yes,Yes,80,55,85,67,73.33,Good,Pass,73.33,2-4 Hours,75-90%
S0496,14,Male,12,5.7,95,Graduate,Yes,No,64,79,96,58,79.67,Good,Pass,79.67,4-6 Hours,90-100%
S0497,16,Female,10,3.2,76,Graduate,No,No,100,46,63,94,69.67,Good,Pass,69.67,2-4 Hours,75-90%
S0498,17,Male,11,6.0,91,High School,No,No,46,91,71,46,69.33,Good,Pass,69.33,4-6 Hours,90-100%
S0499,17,Female,10,1.4,53,Graduate,Yes,Yes,88,43,99,70,76.67,Good,Pass,76.67,0-2 Hours,Below 60%
S0500,18,Female,9,5.8,99,High School,No,No,53,72,99,51,74.67,Good,Pass,74.67,4-6 Hours,90-100%
S0501,15,Male,12,4.7,99,Postgraduate,Yes,Yes,40,100,76,84,72.0,Good,Pass,72.0,4-6 Hours,90-100%
S0502,14,Male,12,1.7,70,High School,No,Yes,65,79,73,91,72.33,Good,Pass,72.33,0-2 Hours,60-75%
S0503,18,Male,12,0.7,78,High School,No,No,82,44,97,70,74.33,Good,Pass,74.33,0-2 Hours,75-90%
S0504,18,Male,11,4.0,78,Graduate,No,No,96,49,54,79,66.33,Good,Pass,66.33,2-4 Hours,75-90%
S0505,16,Male,10,3.9,86,High School,No,Yes,48,92,63,78,67.67,Good,Pass,67.67,2-4 Hours,75-90%
S0506,18,Female,12,2.3,83,High School,Yes,No,76,88,79,87,81.0,Excellent,Pass,81.0,2-4 Hours,75-90%
S0507,15,Male,10,1.4,86,Graduate,No,Yes,50,42,91,66,61.0,Average,Pass,61.0,0-2 Hours,75-90%
S0508,19,Male,12,2.4,80,High School,Yes,Yes,63,98,46,53,69.0,Good,Pass,69.0,2-4 Hours,75-90%
S0509,15,Male,10,0.6,68,Graduate,No,No,38,99,86,71,74.33,Good,Pass,74.33,0-2 Hours,60-75%
S0510,16,Male,12,0.6,66,Postgraduate,Yes,Yes,97,59,91,77,82.33,Excellent,Pass,82.33,0-2 Hours,60-75%
S0511,19,Male,11,4.4,51,Graduate,No,Yes,57,56,88,46,67.0,Good,Pass,67.0,4-6 Hours,Below 60%
S0512,14,Female,10,4.9,97,High School,Yes,Yes,67,67,37,89,57.0,Average,Pass,57.0,4-6 Hours,90-100%
S0513,17,Male,11,4.8,60,Postgraduate,No,Yes,70,78,55,93,67.67,Good,Pass,67.67,4-6 Hours,Below 60%
S0514,14,Male,10,2.1,66,Postgraduate,Yes,Yes,55,61,49,70,55.0,Average,Pass,55.0,2-4 Hours,60-75%
S0515,19,Male,12,5.7,96,High School,Yes,Yes,77,80,61,62,72.67,Good,Pass,72.67,4-6 Hours,90-100%
S0516,19,Female,11,2.0,69,Graduate,No,Yes,53,56,96,45,68.33,Good,Pass,68.33,0-2 Hours,60-75%
S0517,19,Male,10,3.5,95,Postgraduate,Yes,No,51,89,57,53,65.67,Average,Pass,65.67,2-4 Hours,90-100%
S0518,14,Male,10,3.2,52,Graduate,No,Yes,64,38,86,48,62.67,Average,Pass,62.67,2-4 Hours,Below 60%
S0519,18,Female,11,4.2,57,Postgraduate,No,No,79,57,38,78,58.0,Average,Pass,58.0,4-6 Hours,Below 60%
S0520,14,Male,10,4.2,93,Postgraduate,Yes,No,73,86,70,93,76.33,Good,Pass,76.33,4-6 Hours,90-100%
S0521,15,Female,12,4.4,97,Graduate,Yes,No,80,77,40,58,65.67,Average,Pass,65.67,4-6 Hours,90-100%
S0522,18,Male,11,4.1,100,Postgraduate,Yes,Yes,87,94,99,51,93.33,Excellent,Pass,93.33,4-6 Hours,90-100%
S0523,14,Male,10,5.2,90,High School,Yes,No,98,38,38,65,58.0,Average,Pass,58.0,4-6 Hours,75-90%
S0524,19,Male,9,0.6,85,Graduate,Yes,No,81,92,85,69,86.0,Excellent,Pass,86.0,0-2 Hours,75-90%
S0525,17,Female,12,3.3,80,Postgraduate,No,Yes,86,45,47,48,59.33,Average,Pass,59.33,2-4 Hours,75-90%
S0526,14,Male,11,1.3,66,Graduate,Yes,Yes,50,88,71,58,69.67,Good,Pass,69.67,0-2 Hours,60-75%
S0527,17,Male,10,1.7,63,High School,No,Yes,76,69,73,84,72.67,Good,Pass,72.67,0-2 Hours,60-75%
S0528,18,Male,12,0.6,67,Postgraduate,No,No,73,45,86,85,68.0,Good,Pass,68.0,0-2 Hours,60-75%
S0529,17,Female,11,2.9,65,High School,Yes,Yes,38,62,41,48,47.0,Poor,Fail,47.0,2-4 Hours,60-75%
S0530,14,Male,11,1.9,69,High School,Yes,Yes,59,99,48,59,68.67,Good,Pass,68.67,0-2 Hours,60-75%
S0531,19,Male,9,1.9,67,Postgraduate,No,No,70,98,43,53,70.33,Good,Pass,70.33,0-2 Hours,60-75%
S0532,17,Female,11,5.7,57,Postgraduate,No,No,82,70,84,87,78.67,Good,Pass,78.67,4-6 Hours,Below 60%
S0533,19,Female,11,2.9,97,Graduate,No,Yes,86,49,75,95,70.0,Good,Pass,70.0,2-4 Hours,90-100%
S0534,15,Male,10,1.5,78,Graduate,Yes,Yes,36,45,74,67,51.67,Average,Pass,51.67,0-2 Hours,75-90%
S0535,19,Male,10,2.3,70,Postgraduate,No,No,60,84,92,44,78.67,Good,Pass,78.67,2-4 Hours,60-75%
S0536,14,Male,9,4.5,70,Postgraduate,Yes,Yes,48,48,60,82,52.0,Average,Pass,52.0,4-6 Hours,60-75%
S0537,18,Female,12,4.4,69,Graduate,Yes,Yes,88,63,92,79,81.0,Excellent,Pass,81.0,4-6 Hours,60-75%
S0538,18,Male,9,5.3,53,High School,No,No,58,57,76,52,63.67,Average,Pass,63.67,4-6 Hours,Below 60%
S0539,18,Female,12,5.1,58,High School,Yes,No,75,83,77,95,78.33,Good,Pass,78.33,4-6 Hours,Below 60%
S0540,19,Male,12,5.7,56,Postgraduate,No,No,67,77,66,50,70.0,Good,Pass,70.0,4-6 Hours,Below 60%
S0541,17,Female,10,5.8,68,Graduate,No,No,54,46,52,79,50.67,Average,Pass,50.67,4-6 Hours,60-75%
S0542,18,Male,9,2.8,81,Graduate,No,Yes,98,65,87,62,83.33,Excellent,Pass,83.33,2-4 Hours,75-90%
S0543,14,Female,12,0.7,57,High School,No,Yes,95,60,66,52,73.67,Good,Pass,73.67,0-2 Hours,Below 60%
S0544,19,Male,10,5.4,91,Postgraduate,No,Yes,70,76,42,48,62.67,Average,Pass,62.67,4-6 Hours,90-100%
S0545,19,Female,12,1.8,82,Postgraduate,No,No,44,66,95,84,68.33,Good,Pass,68.33,0-2 Hours,75-90%
S0546,18,Female,9,1.4,86,High School,No,No,92,76,41,52,69.67,Good,Pass,69.67,0-2 Hours,75-90%
S0547,17,Female,12,3.4,51,Postgraduate,Yes,No,79,87,44,70,70.0,Good,Pass,70.0,2-4 Hours,Below 60%
S0548,15,Female,10,2.7,84,High School,No,No,46,85,58,42,63.0,Average,Pass,63.0,2-4 Hours,75-90%
S0549,14,Female,9,1.7,98,Graduate,Yes,Yes,91,43,100,50,78.0,Good,Pass,78.0,0-2 Hours,90-100%
S0550,15,Male,9,4.4,60,Graduate,No,No,39,59,52,79,50.0,Average,Pass,50.0,4-6 Hours,Below 60%
S0551,15,Female,10,2.3,90,Postgraduate,No,Yes,62,57,50,81,56.33,Average,Pass,56.33,2-4 Hours,75-90%
S0552,17,Male,11,3.1,89,Graduate,No,Yes,100,41,69,65,70.0,Good,Pass,70.0,2-4 Hours,75-90%
S0553,16,Female,12,1.0,86,Postgraduate,Yes,Yes,48,58,50,77,52.0,Average,Pass,52.0,0-2 Hours,75-90%
S0554,14,Male,9,4.0,70,High School,Yes,No,56,45,45,95,48.67,Poor,Fail,48.67,2-4 Hours,60-75%
S0555,19,Male,12,1.2,51,Graduate,No,No,87,47,84,59,72.67,Good,Pass,72.67,0-2 Hours,Below 60%
S0556,16,Male,12,3.8,58,Graduate,No,Yes,90,52,61,75,67.67,Good,Pass,67.67,2-4 Hours,Below 60%
S0557,16,Male,9,3.1,73,High School,Yes,Yes,37,42,40,45,39.67,Poor,Fail,39.67,2-4 Hours,60-75%
S0558,17,Male,9,4.1,89,Postgraduate,No,Yes,91,38,61,80,63.33,Average,Pass,63.33,4-6 Hours,75-90%
S0559,19,Male,12,5.4,79,Postgraduate,No,No,93,52,51,81,65.33,Average,Pass,65.33,4-6 Hours,75-90%
S0560,16,Male,11,3.4,85,Graduate,No,Yes,68,75,43,65,62.0,Average,Pass,62.0,2-4 Hours,75-90%
S0561,14,Male,12,4.0,52,High School,Yes,Yes,65,94,55,83,71.33,Good,Pass,71.33,2-4 Hours,Below 60%
S0562,16,Female,11,4.4,65,Graduate,No,Yes,71,67,74,45,70.67,Good,Pass,70.67,4-6 Hours,60-75%
S0563,17,Male,11,4.2,76,Graduate,No,No,38,57,79,68,58.0,Average,Pass,58.0,4-6 Hours,75-90%
S0564,14,Female,10,3.1,77,High School,No,No,80,96,43,62,73.0,Good,Pass,73.0,2-4 Hours,75-90%
S0565,18,Male,12,5.6,60,Graduate,Yes,No,84,46,87,61,72.33,Good,Pass,72.33,4-6 Hours,Below 60%
S0566,17,Male,10,3.3,84,Graduate,Yes,No,94,37,37,75,56.0,Average,Pass,56.0,2-4 Hours,75-90%
S0567,15,Male,9,1.4,95,Postgraduate,Yes,Yes,47,61,39,46,49.0,Poor,Fail,49.0,0-2 Hours,90-100%
S0568,15,Male,10,2.6,99,Postgraduate,No,Yes,47,54,81,74,60.67,Average,Pass,60.67,2-4 Hours,90-100%
S0569,18,Male,12,4.9,92,Postgraduate,No,No,67,44,71,43,60.67,Average,Pass,60.67,4-6 Hours,90-100%
S0570,17,Male,9,4.4,82,High School,No,No,80,59,80,79,73.0,Good,Pass,73.0,4-6 Hours,75-90%
S0571,19,Female,10,0.9,72,High School,No,No,65,90,99,45,84.67,Excellent,Pass,84.67,0-2 Hours,60-75%
S0572,17,Male,9,2.1,66,High School,No,No,77,68,96,72,80.33,Good,Pass,80.33,2-4 Hours,60-75%
S0573,15,Female,9,4.1,65,High School,No,Yes,99,38,73,42,70.0,Good,Pass,70.0,4-6 Hours,60-75%
S0574,16,Female,10,4.4,53,Postgraduate,No,No,99,62,89,75,83.33,Excellent,Pass,83.33,4-6 Hours,Below 60%
S0575,15,Male,12,5.7,83,Postgraduate,No,Yes,46,49,92,46,62.33,Average,Pass,62.33,4-6 Hours,75-90%
S0576,18,Male,11,1.8,88,Postgraduate,Yes,Yes,71,99,49,43,73.0,Good,Pass,73.0,0-2 Hours,75-90%
S0577,19,Male,12,4.6,52,Graduate,No,No,62,41,96,53,66.33,Good,Pass,66.33,4-6 Hours,Below 60%
S0578,19,Male,9,1.2,65,Postgraduate,No,No,44,38,99,91,60.33,Average,Pass,60.33,0-2 Hours,60-75%
S0579,18,Female,10,5.9,66,Postgraduate,Yes,Yes,63,47,77,51,62.33,Average,Pass,62.33,4-6 Hours,60-75%
S0580,16,Female,9,4.8,82,Graduate,Yes,No,81,74,74,92,76.33,Good,Pass,76.33,4-6 Hours,75-90%
S0581,15,Female,12,2.5,75,Graduate,No,No,46,97,41,49,61.33,Average,Pass,61.33,2-4 Hours,60-75%
S0582,15,Female,10,2.4,98,High School,Yes,Yes,49,93,94,45,78.67,Good,Pass,78.67,2-4 Hours,90-100%
S0583,17,Male,11,2.9,63,Postgraduate,No,No,96,93,44,85,77.67,Good,Pass,77.67,2-4 Hours,60-75%
S0584,16,Male,9,4.8,98,Postgraduate,No,No,100,74,45,92,73.0,Good,Pass,73.0,4-6 Hours,90-100%
S0585,17,Female,11,3.4,68,High School,Yes,No,72,80,46,59,66.0,Good,Pass,66.0,2-4 Hours,60-75%
S0586,16,Male,10,4.4,50,High School,No,No,80,39,41,66,53.33,Average,Pass,53.33,4-6 Hours,Below 60%
S0587,16,Female,11,5.0,80,Graduate,No,No,81,53,53,52,62.33,Average,Pass,62.33,4-6 Hours,75-90%
S0588,14,Male,10,2.5,71,Graduate,Yes,No,60,88,87,54,78.33,Good,Pass,78.33,2-4 Hours,60-75%
S0589,19,Male,11,1.6,75,High School,No,No,56,56,36,85,49.33,Poor,Fail,49.33,0-2 Hours,60-75%
S0590,14,Male,10,2.4,86,Postgraduate,Yes,No,99,42,36,80,59.0,Average,Pass,59.0,2-4 Hours,75-90%
S0591,15,Female,10,4.0,100,High School,Yes,No,44,91,56,50,63.67,Average,Pass,63.67,2-4 Hours,90-100%
S0592,18,Female,11,4.8,78,Graduate,Yes,Yes,88,64,63,89,71.67,Good,Pass,71.67,4-6 Hours,75-90%
S0593,15,Male,10,5.9,76,Postgraduate,No,Yes,71,98,40,55,69.67,Good,Pass,69.67,4-6 Hours,75-90%
S0594,17,Male,10,5.5,79,High School,No,Yes,68,45,77,95,63.33,Average,Pass,63.33,4-6 Hours,75-90%
S0595,14,Male,9,3.2,91,High School,No,Yes,84,55,47,67,62.0,Average,Pass,62.0,2-4 Hours,90-100%
S0596,14,Male,9,4.1,62,Postgraduate,No,No,52,72,85,87,69.67,Good,Pass,69.67,4-6 Hours,60-75%
S0597,18,Female,12,3.2,68,Postgraduate,No,No,58,94,78,70,76.67,Good,Pass,76.67,2-4 Hours,60-75%
S0598,17,Female,10,3.6,56,High School,Yes,Yes,98,43,52,68,64.33,Average,Pass,64.33,2-4 Hours,Below 60%
S0599,16,Female,10,1.7,83,High School,Yes,Yes,87,58,59,73,68.0,Good,Pass,68.0,0-2 Hours,75-90%
S0600,17,Male,11,2.5,75,Postgraduate,Yes,No,65,36,35,54,45.33,Poor,Fail,45.33,2-4 Hours,60-75%
S0601,17,Female,12,5.0,69,Graduate,Yes,No,96,41,72,64,69.67,Good,Pass,69.67,4-6 Hours,60-75%
S0602,16,Male,9,1.6,72,High School,No,Yes,59,54,48,44,53.67,Average,Pass,53.67,0-2 Hours,60-75%
S0603,17,Male,11,4.1,68,Postgraduate,No,No,47,37,35,79,39.67,Poor,Fail,39.67,4-6 Hours,60-75%
S0604,15,Male,9,1.1,88,Graduate,Yes,Yes,59,66,71,63,65.33,Average,Pass,65.33,0-2 Hours,75-90%
S0605,14,Female,12,0.9,72,Postgraduate,No,Yes,77,60,43,71,60.0,Average,Pass,60.0,0-2 Hours,60-75%
S0606,19,Male,9,4.4,66,High School,Yes,Yes,38,71,79,90,62.67,Average,Pass,62.67,4-6 Hours,60-75%
S0607,14,Male,11,4.3,93,High School,No,Yes,42,90,88,50,73.33,Good,Pass,73.33,4-6 Hours,90-100%
S0608,15,Female,12,4.9,78,Postgraduate,No,No,91,82,63,76,78.67,Good,Pass,78.67,4-6 Hours,75-90%
S0609,16,Male,11,4.5,84,Postgraduate,Yes,Yes,100,83,42,77,75.0,Good,Pass,75.0,4-6 Hours,75-90%
S0610,16,Male,11,3.8,90,Postgraduate,Yes,No,74,95,67,45,78.67,Good,Pass,78.67,2-4 Hours,75-90%
S0611,18,Female,12,1.3,56,Graduate,Yes,No,53,45,35,52,44.33,Poor,Fail,44.33,0-2 Hours,Below 60%
S0612,19,Male,12,5.7,79,High School,Yes,No,84,89,97,47,90.0,Excellent,Pass,90.0,4-6 Hours,75-90%
S0613,18,Male,10,2.0,79,Graduate,No,Yes,100,87,82,94,89.67,Excellent,Pass,89.67,0-2 Hours,75-90%
S0614,19,Male,12,5.3,63,Graduate,Yes,Yes,83,48,71,48,67.33,Good,Pass,67.33,4-6 Hours,60-75%
S0615,14,Female,11,4.2,60,High School,No,Yes,45,68,65,78,59.33,Average,Pass,59.33,4-6 Hours,Below 60%
S0616,19,Female,11,1.1,64,Postgraduate,Yes,No,41,53,46,77,46.67,Poor,Fail,46.67,0-2 Hours,60-75%
S0617,15,Male,9,2.9,97,Postgraduate,No,No,45,47,43,57,45.0,Poor,Fail,45.0,2-4 Hours,90-100%
S0618,18,Male,10,4.2,98,High School,Yes,No,67,97,36,88,66.67,Good,Pass,66.67,4-6 Hours,90-100%
S0619,16,Female,12,5.1,76,Postgraduate,Yes,No,78,45,42,48,55.0,Average,Pass,55.0,4-6 Hours,75-90%
S0620,18,Male,11,5.1,51,Postgraduate,Yes,No,72,69,58,92,66.33,Good,Pass,66.33,4-6 Hours,Below 60%
S0621,18,Female,11,3.5,91,Graduate,No,No,66,39,47,75,50.67,Average,Pass,50.67,2-4 Hours,90-100%
S0622,15,Male,10,3.4,60,High School,Yes,No,38,69,43,79,50.0,Average,Pass,50.0,2-4 Hours,Below 60%
S0623,15,Female,12,2.9,100,Postgraduate,Yes,No,42,42,36,57,40.0,Poor,Fail,40.0,2-4 Hours,90-100%
S0624,17,Male,10,1.7,77,Postgraduate,Yes,Yes,57,71,80,76,69.33,Good,Pass,69.33,0-2 Hours,75-90%
S0625,15,Male,10,5.7,53,Graduate,No,Yes,70,81,50,47,67.0,Good,Pass,67.0,4-6 Hours,Below 60%
S0626,16,Female,9,3.1,75,Graduate,No,No,87,53,85,43,75.0,Good,Pass,75.0,2-4 Hours,60-75%
S0627,19,Female,11,1.5,62,Graduate,Yes,No,80,58,55,81,64.33,Average,Pass,64.33,0-2 Hours,60-75%
S0628,14,Female,11,5.5,80,Postgraduate,No,Yes,50,93,77,80,73.33,Good,Pass,73.33,4-6 Hours,75-90%
S0629,14,Male,12,2.4,93,High School,No,Yes,71,91,41,87,67.67,Good,Pass,67.67,2-4 Hours,90-100%
S0630,18,Male,12,1.2,96,Postgraduate,No,No,39,81,79,51,66.33,Good,Pass,66.33,0-2 Hours,90-100%
S0631,16,Male,12,3.4,68,High School,No,Yes,54,57,77,46,62.67,Average,Pass,62.67,2-4 Hours,60-75%
S0632,18,Male,10,0.6,80,High School,Yes,Yes,51,84,42,55,59.0,Average,Pass,59.0,0-2 Hours,75-90%
S0633,19,Female,12,2.2,91,High School,Yes,No,59,44,45,80,49.33,Poor,Fail,49.33,2-4 Hours,90-100%
S0634,15,Male,11,5.3,75,Graduate,No,No,37,44,85,83,55.33,Average,Pass,55.33,4-6 Hours,60-75%
S0635,19,Female,10,5.5,68,Graduate,No,Yes,93,52,48,94,64.33,Average,Pass,64.33,4-6 Hours,60-75%
S0636,19,Male,10,4.9,93,Graduate,Yes,No,58,55,39,71,50.67,Average,Pass,50.67,4-6 Hours,90-100%
S0637,14,Female,9,3.1,50,Postgraduate,No,No,85,93,77,68,85.0,Excellent,Pass,85.0,2-4 Hours,Below 60%
S0638,15,Male,10,0.7,51,Postgraduate,No,No,73,46,75,65,64.67,Average,Pass,64.67,0-2 Hours,Below 60%
S0639,18,Male,10,2.2,92,Graduate,Yes,No,78,45,61,68,61.33,Average,Pass,61.33,2-4 Hours,90-100%
S0640,16,Male,9,3.9,52,Postgraduate,No,No,69,86,92,73,82.33,Excellent,Pass,82.33,2-4 Hours,Below 60%
S0641,19,Male,12,5.4,66,Postgraduate,Yes,Yes,59,93,38,87,63.33,Average,Pass,63.33,4-6 Hours,60-75%
S0642,16,Female,11,0.9,54,Graduate,No,No,92,79,67,47,79.33,Good,Pass,79.33,0-2 Hours,Below 60%
S0643,17,Male,9,1.0,71,Postgraduate,Yes,Yes,91,61,85,51,79.0,Good,Pass,79.0,0-2 Hours,60-75%
S0644,18,Male,10,3.4,61,Postgraduate,Yes,Yes,96,83,99,70,92.67,Excellent,Pass,92.67,2-4 Hours,60-75%
S0645,15,Male,10,2.4,81,Postgraduate,No,No,74,68,81,68,74.33,Good,Pass,74.33,2-4 Hours,75-90%
S0646,19,Female,10,2.0,59,Postgraduate,Yes,Yes,66,88,48,57,67.33,Good,Pass,67.33,0-2 Hours,Below 60%
S0647,14,Male,12,1.2,55,Graduate,Yes,No,52,43,91,41,62.0,Average,Pass,62.0,0-2 Hours,Below 60%
S0648,14,Male,12,5.7,100,High School,No,Yes,61,56,50,80,55.67,Average,Pass,55.67,4-6 Hours,90-100%
S0649,14,Female,9,4.6,64,Graduate,Yes,No,61,69,62,71,64.0,Average,Pass,64.0,4-6 Hours,60-75%
S0650,16,Male,9,5.5,50,Graduate,No,No,65,82,95,67,80.67,Good,Pass,80.67,4-6 Hours,Below 60%
S0651,16,Male,12,2.2,83,Postgraduate,Yes,Yes,35,58,49,68,47.33,Poor,Fail,47.33,2-4 Hours,75-90%
S0652,17,Female,11,3.8,65,Postgraduate,No,No,35,45,63,47,47.67,Poor,Fail,47.67,2-4 Hours,60-75%
S0653,17,Female,10,4.8,94,High School,Yes,Yes,49,75,82,75,68.67,Good,Pass,68.67,4-6 Hours,90-100%
S0654,18,Female,9,4.4,60,High School,No,No,82,97,81,92,86.67,Excellent,Pass,86.67,4-6 Hours,Below 60%
S0655,18,Male,10,5.1,59,Graduate,Yes,Yes,60,56,63,87,59.67,Average,Pass,59.67,4-6 Hours,Below 60%
S0656,17,Female,10,4.1,85,High School,Yes,Yes,68,38,85,92,63.67,Average,Pass,63.67,4-6 Hours,75-90%
S0657,16,Male,12,4.7,72,Postgraduate,No,No,56,66,84,47,68.67,Good,Pass,68.67,4-6 Hours,60-75%
S0658,14,Female,11,5.1,83,High School,No,Yes,64,49,43,80,52.0,Average,Pass,52.0,4-6 Hours,75-90%
S0659,18,Female,12,5.9,69,Graduate,No,Yes,95,99,90,41,94.67,Excellent,Pass,94.67,4-6 Hours,60-75%
S0660,19,Male,11,1.7,86,High School,Yes,No,46,93,61,56,66.67,Good,Pass,66.67,0-2 Hours,75-90%
S0661,16,Male,12,5.3,72,Postgraduate,Yes,Yes,99,76,78,46,84.33,Excellent,Pass,84.33,4-6 Hours,60-75%
S0662,16,Female,12,2.7,94,High School,No,No,71,44,67,92,60.67,Average,Pass,60.67,2-4 Hours,90-100%
S0663,15,Male,11,2.8,89,High School,No,No,41,48,57,45,48.67,Poor,Fail,48.67,2-4 Hours,75-90%
S0664,15,Female,9,0.5,87,Postgraduate,Yes,No,47,38,58,52,47.67,Poor,Fail,47.67,0-2 Hours,75-90%
S0665,17,Female,9,4.4,67,Postgraduate,Yes,No,46,69,93,75,69.33,Good,Pass,69.33,4-6 Hours,60-75%
S0666,19,Male,10,1.5,78,High School,Yes,Yes,93,35,74,59,67.33,Good,Pass,67.33,0-2 Hours,75-90%
S0667,16,Male,11,5.9,86,Postgraduate,No,No,66,68,80,94,71.33,Good,Pass,71.33,4-6 Hours,75-90%
S0668,17,Female,9,4.2,90,Graduate,No,Yes,81,59,66,57,68.67,Good,Pass,68.67,4-6 Hours,75-90%
S0669,18,Male,9,1.9,57,Graduate,Yes,Yes,48,60,58,47,55.33,Average,Pass,55.33,0-2 Hours,Below 60%
S0670,17,Male,11,3.8,72,Postgraduate,No,No,92,39,85,56,72.0,Good,Pass,72.0,2-4 Hours,60-75%
S0671,14,Female,9,1.6,90,High School,Yes,Yes,39,66,58,81,54.33,Average,Pass,54.33,0-2 Hours,75-90%
S0672,18,Female,10,1.0,86,Postgraduate,Yes,Yes,96,87,41,47,74.67,Good,Pass,74.67,0-2 Hours,75-90%
S0673,14,Male,12,3.2,84,Graduate,Yes,No,96,47,60,52,67.67,Good,Pass,67.67,2-4 Hours,75-90%
S0674,17,Female,12,1.0,63,High School,No,Yes,73,42,87,47,67.33,Good,Pass,67.33,0-2 Hours,60-75%
S0675,17,Male,11,4.0,56,Graduate,No,No,86,56,99,79,80.33,Good,Pass,80.33,2-4 Hours,Below 60%
S0676,16,Female,9,3.2,52,Postgraduate,No,Yes,53,51,49,40,51.0,Average,Pass,51.0,2-4 Hours,Below 60%
S0677,17,Female,11,0.7,89,Postgraduate,No,No,91,35,64,48,63.33,Average,Pass,63.33,0-2 Hours,75-90%
S0678,19,Male,12,3.3,58,Graduate,Yes,No,50,60,99,60,69.67,Good,Pass,69.67,2-4 Hours,Below 60%
S0679,15,Male,9,3.0,72,High School,Yes,Yes,43,93,81,51,72.33,Good,Pass,72.33,2-4 Hours,60-75%
S0680,14,Male,12,3.4,51,High School,Yes,No,88,46,57,78,63.67,Average,Pass,63.67,2-4 Hours,Below 60%
S0681,18,Female,10,5.1,54,Graduate,Yes,No,61,44,79,43,61.33,Average,Pass,61.33,4-6 Hours,Below 60%
S0682,15,Male,11,1.5,85,High School,No,No,73,52,74,89,66.33,Good,Pass,66.33,0-2 Hours,75-90%
S0683,18,Female,11,2.0,99,High School,Yes,No,97,62,81,53,80.0,Good,Pass,80.0,0-2 Hours,90-100%
